checkpoint,processed,exact_mean,estimate_mean,estimate_std
0,10000,9055.3,8912.45,38.67
1,20000,16493.7,16267.89,42.34
2,30000,22541.2,22289.56,56.78
3,40000,27528.9,27245.23,67.45
4,50000,31598.6,31345.67,78.23
5,60000,34932.4,34678.34,89.56
6,70000,37682.1,37423.78,92.34
7,80000,39928.5,39678.45,95.67
8,90000,41738.2,41489.23,98.45
9,100000,43208.9,42945.67,102.34
10,110000,44432.6,44178.89,105.67
11,120000,45442.3,45198.45,108.23
12,130000,46252.8,46012.67,110.45
13,140000,46942.5,46712.34,112.67
14,150000,47502.1,47278.56,115.23
15,160000,47972.4,47745.78,117.45
16,170000,48342.7,48112.34,119.67
17,180000,48642.3,48423.56,121.23
18,190000,48892.6,48689.78,123.45
19,200000,49102.9,48912.34,125.67